FMS_BOC,FMS_SUB_BOC,FMS_BOC_NAME,IFAMS_BOC,IFAMS_BOC_NAME,LOAD_DATE
1101,,REGULAR PAY,111101,REGULAR PAY - F/T,
1102,,NIGHT DIFFERENTIAL,115111,NIGHT PAY - F/T,
1103,,HOLIDAY PAY,115101,HOLIDAY PAY - F/T,
1104,,OVERTIME PAY,115131,OVERTIME PAY - F/T,
1105,,TERMINAL LEAVE,111301,TERMINAL PAY - F/T,
1106,,POST DIFF(MANILA ONLY),115211,POST DIFFERENTIAL - F/T (MANILA),
1107,,PREM PAY ANNUAL BASIS(STANDBY),115171,STAND-BY - F/T,
1108,,SUNDAY PREMIUM PAY,115151,SUNDAY PREMIUM PAY - F/T,
1109,,ON CALL PAY,115121,ON CALL - F/T,
1110,,MARKET PAY P/T DENTISTS,113222,MARKET PAY - DENTIST PAY - P/T,
1111,,MARKET PAY F/T DENTISTS,111221,MARKET PAY - DENTIST PAY - F/T,
1112,,MARKET PAY P/T PHYSICIANS,113242,MARKET PAY - PHYSICIAN PAY - P/T,
1113,,MARKET PAY F/T PHYSICIANS,111241,MARKET PAY - PHYSICIAN PAY - F/T,
1115,,SENIOR EXEC. SERVICE BONUS,115431,SENIOR EXECUTIVE SERVICE BONUS - F/T,
1116,,REEMPLOYED ANNUITANTS REIMB,118201,RE-EMPLOYED ANNUITANTS,
1117,,SATURDAY PREMIUM PAY,115141,SATURDAY PREMIUM PAY - F/T,
1118,,PREMIUM PAY/OT,115511,PAY IN LIEU OF OVERTIME - F/T,
1119,,EMPLOYEE SPECIAL PAY,111211,MARKET PAY - EMPLOYEE SPECIAL RATE PAY - F/T,
1120,,GEOGRAPHIC PAY,111261,GEOGRAPHIC PAY - F/T,
1123,,HAZARD PAY DIFFERENTIAL,115201,HAZARDOUS DUTY - F/T,
1125,,SUPERVISORY DIFFERENTIAL,115311,SUPERVISORY DIFFERENTIAL - F/T,
1127,,PHYSICIAN COMPAR. ALLOWANCE,111250,PHYSICIAN COMPAR. ALLOWANCE ,
1128,,INCENTIVE AWARDS CASH/NONCASH,115402,CASH AWARD - SPECIAL CONTRIBUTION,
1130,,LOCALITY PAY,111201,MARKET PAY - LOCALITY PAY - F/T,
1132,,ADVANCED FED EMPL HEALTH FEHB,111110,FEHB ADVANCED,
1133,,"EMP AWARD PGM-RES,FEE,WOC,P&H",115442,NON-VA EMPLOYEES AWARD PROGRAM,
1134,,TRAVEL SAVINGS AWARD PROGRAM,115403,TRAVEL SAVINGS AWARD PROGRAM,
1136,,REPAYMENT OF ADVANCED FEHB,121112,FEHB REPAYMENT OF ADVANCED PREMIUMS,
1137,,RECOUP ADV FEHB FROM CARRIERS,121113,FEHB RECOUPMENT FROM CARRIER OF ADVANCED,
1138,,RESERVIST DIFFER PAY/INTEREST,115301,RESERVIST DIFFERENTIAL- F/T,
1139,,LAW ENFORCEMENT AVAILAB PAY,115501,LAW ENFORCEMENT AVAILABILITY PAY - F/T,
1140,,CLEAR SPECIAL PAY TRANSACTIONS,118102,CLEAR SPECIAL PAY,
1141,,ROYALTY PAYMENTS,115601,ROYALTIES,
1150,,PERFORMANCE AWARDS,115401,PERFORMANCE AWARD,
1151,,EXECUTIVE SPECIAL PAY,111231,MARKET PAY - EXECUTIVE NURSES - SPECIAL PAY - F/T,
1153,,DECLARED EMERGENCY INCREMENTAL PAY,111199,DECLARED EMERGENCY INCREMENTAL PAY,
1154,,WEEKEND PREMIUM PAY,115161,WEEKEND PREMIUM PAY - F/T,
1180,,Honoraria Payments,118603,HONORARIA,
1181,,Stipend Payments,118604,STIPEND,
1201,,"BENEFITS, CANTEEN SVC(FMS INT)",121406,BENEFITS - CANTEEN SERVICES,
1203,,QS&LALLOW WOC EMP,121402,QS&L ALLOWANCES WOC EMPLOYEES,
1204,,OWCP PAYMENTS,121104,OWCP PAYMENTS,
1205,,UNIFORM ALLOWANCES,121405,UNIFORM ALLOWANCES,
1206,,UNFUND FED EMPLYEE RETIREMT SY,121211,UNFUNDED FEDERAL EMPLOYEE RETIREMENT SYSTEM,
1207,,UNFUND POSTRETIREMENT PENS CSR,121212,UNFUNDED CIVIL SERVICE RETIREMENT SYSTEM,
1208,,SUBSISTENCE & TEMP EXPENSES,121324,SUBSISTENCE & TEMPORARY EXPENSES (FSC),
1209,,REAL ESTATE EXPENSES,121320,REAL ESTATE EXPENSES (FSC),
1210,,RELOCATION INC & W/H TAX,121328,RELOCATION INC & W/H TAX (FSC),
1211,,"U/F POSTRETIRE ORB, FEHIB",121213,FEHB UNFUNDED POST RETIREMENT ORB,
1212,,FEGLI VA SHARE,121107,FEGLI - VA SHARE,
1213,,"U/F POSTRETIRE ORB, FEGLI",121214,FEGLI UNFUNDED POST RETIREMENT ORB,
1214,,OASDI EMPLOYERS TAX,121106,OASDI - EMPLOYERS TAX,
1215,,FSA PRGM DEPENDT CARE ADM FEE,251125,FSA PROGRAM DEPENDENT CARE ADMIN FEES,
1216,,CIVIL SERVICE RET VA SHARE,121201,CIVIL SERVICE RETIREMENT FUND - VA SHARE,
1217,,FSA PRGM DEPENDT FOR HEALTH ADM FEES,251124,FSA PROGRAM ADMIN FEES,
1218,,FEHB VA SHARE,121101,FEHB - VA SHARE,
1219,,LIV ALLOW & EDUC ASSIST,121303,LIVING ALLOWANCES & EDUCATIONAL ASSISTANCE,
1220,,MEDICARE VA SHARE,121102,MEDICARE - VA SHARE,
1221,,REPAYMENT STUDENT LOAN PROG,121302,REPAYMENT STUDENT LOAN PROGRAM,
1222,,FERS REGULAR VA SHARE,121204,FERS REGULAR - VA SHARE,
1223,,FERS SPECIAL VA SHARE,121208,FERS - SPECIAL - VA SHARE,
1224,,FERS THRIFT VA SHARE,121207,FERS THRIFT SAVINGS PLAN (TSP) - VA SHARE,
1225,,FEE BASIS - OASDI-VA SHARE,121105,OASDI FEE BASIS - VA SHARE,
1226,,FEE BASIS - MEDICARE-VA SHARE,121103,MEDICARE FEE BASIS - VA SHARE,
1227,,CHANGE IN FECA LIABIL STA150,121109,FECA - CHANGES IN FECA LIABILITY (FSC),
1228,,ACCRUED FECA EXP STA 150 ONLY,121110,FECA - ACCRUED FECA (FSC),
1229,,ACCRUED ANNUAL LEAVE EXP 150,121216,ACCRUED ANNUAL LEAVE EXPENSE (FSC),
1230,,DIRECT PAYMENT CLOSING COSTS,121321,DIRECT PAYMENT CLOSING COSTS (FSC),
1231,,ACCRUED FUNDED ANNUAL LEAVE,121215,"ACRD FNDED ANNUAL LEAVE: SPLY, FRNCH, & CANTEEN SERVICE FUND",
1232,,FERS REG VA SHARE HIRED AFT12,121205,FERS - RAE - VA SHARE (HIRED ON/AFTER 1/1/2013),
1233,,FERS SPC VA SHARE HIRED AFT12,121209,FERS - RAE - SPECIAL - VA SHARE (HIRED ON/AFTER 1/1/2013),
1234,,RECRUITMENT INCENTIVES,121305,RECRUITMENT INCENTIVES,
1235,,RETENTION INCENTIVES,121306,RETENTION INCENTIVES,
1236,,RELOCATION INCENTIVES,121304,RELOCATION INCENTIVES,
1237,,FERS REG VA SHARE HIRED AFT13,121206,FERS - FRAE - VA SHARE (HIRED ON/AFTER 1/1/2014),
1238,,FERS SPC VA SHARE HIRED AFT13,121210,FERS - FRAE - SPECIAL - VA SHARE (HIRED ON/AFTER 1/1/2014),
1239,,EMPLOYEE INCENTIVE SCHOLARSHIP,121307,EMPLOYEE INCENTIVE SCHOLARSHIP,
1251,,RELOCATION SERVICES FSC,121325,RELOCATION SERVICES (FSC),
1252,,RELOCATION SERVICES AVO FSC,121326,RELOCATION SERVICES AVO (FSC),
1253,,RELOCATION SERVICES BVO FSC,121327,RELOCATION SERVICES BVO (FSC),
1254,,PCS FOREIGN FSC,121323,PCS FOREIGN PROP MGMT SVC (FSC),
1255,,PCS DOMESTIC FSC,121322,PCS DOMESTIC PROP MGMT SVC (FSC),
1256,,Civil Service Retirement Fund VA Share – Manila only.,121202,CIVIL SERVICE RETMT FUND - VA SHARE (MANILA) (NON-OPM BENS),
1257,,Federal Employees Health Benefits VA Share – Manila only.,121203,FEHB (MANILA) (NON-OPM BENS),
1283,,CHILD CARE SUBSIDY,121401,CHILD CARE SUBSIDY,
1284,,TRANSIT BENEFIT PRETAX,121404,TRANSIT BENEFIT PRETAX,
1285,,TRANSIT SUBSIDY,121403,TRANSIT SUBSIDY,
1286,,LIABILITY INSURANCE REIMB PROG,121108,LIABILITY INSURANCE REIMBURSEMENT PROGRAM,
1287,,EDUCATION DEBT REDUCTION PGM,121301,EDUCATION DEBT REDUCTION PROGRAM (VHA),
1288,,GARNISHMENT FEE COST,121407,GARNISHMENT FEE COST,
1301,,SEVERANCE PAY PL89-301,130101,SEVERANCE PAY,
1302,,UNEMPLOYMENT COMP PAYMENTS,130201,UNEMPLOYMENT COMPENSATION PAYMENTS,
1303,,VOLUNTARY SEPARATION INCENTIVE,130102,VOLUNTARY SEPARATION INCENTIVE,
1304,,OTHER BENEFITS,130301,POST EMPLOYMENT BENEFITS,
2101,,PERMANENT DUTY TRAVEL,212001,PERMANENT CHANGE OF STATION (PCS),
2102,,SEEK PERMANENT RESIDENCE QTR,212002,PCS - SEEK PERMANENT RESIDENCE (FSC),
2103,,EMPLOYEE TRAINING TRAVEL/TDY,210300,TRAINING TRAVEL,
2104,,Employee Admin Travel,210100,MISSION TRAVEL,
2105,,PCS MEALS EMPL/DEPENDENTS,212004,PCS - MEALS AND INCIDENTALS (FSC),
2106,,PERMANENT DUTY TVL - TAX,212003,PERMANENT DUTY TRAVEL - TAXABLE ,
2111,,Employee Medical Travel,210200,EMPLOYEE MEDICAL TRAVEL,
2112,,BENEFICIARY TRAVEL - COMMON CARRIER COMMERCIAL VENDOR,211603,BENEFICIARY - COMMON CARRIER,
2113,,BENEFICIARY TRAVEL - REIMBURSEMENT TO ELIGIBLE BENEFICIARY WHEN TRANSPORTED VIA COMMON CARRIER,211604,BENEFICIARY - COMMON CARRIER REIMBURSMENT,
2114,,DONATED TRAVEL FOR EMPLOYEES,211000,DONATED TRAVEL - EMPLOYEES,
2115,,DONATED TRAVEL FOR PATIENTS,210900,DONATED PATIENTS - TRAVEL ,
2119,,BENEFICIARY TRAVEL - SPECIAL MODE,211611,BENEFICIARY - SPECIAL MODE TRANSPORTATION,
2120,,BENEFICIARY TRAVEL - REIMBURSEMENT TO ELIGIBLE BENEFICIARY WHEN TRANSPORTED VIA POV - MILEAGE,211605,BENEFICIARY - PRIVATELY-OWNED VEHICLE (POV) MILEAGE,
2121,,LOCAL TRANSPORTATION OF EMPLOYEES,211820,LOCAL TRANSPORTATION FOR EMPLOYEES - DOMESTIC,
2122,,TRAVEL OF WITNESS,211300,MISSION - TRAVEL OF WITNESS,
2128,,NON-MEDICAL BENEFICIARY TRAVEL,211600,BENEFICIARY TRAVEL (NON-MEDICAL) ,
2129,,VETERAN TRANSPORTATION PROGRAM - NON-BENEFICIARY,211700,NON-BENEFICIARY VETERAN TRANSPORTATION PROGRAM,
2130,,RENTAL OF CAR FR GOVT MOTOR PL,212114,LEASE OF GSA PASSENGER VEHICLES FROM GOV. MOTOR VEHICLES,
2140,,COMMERCIAL TRANSPORTATION CHRG,210103,MISSION - COMMON CARRIER,
2150,,TRAVEL TO BE REIMBURSED,210304,TRAINING - COMMON CARRIER REIMBURSMENT,
2151,,NON-EMPLOYEETRAVEL,211500,INVITATIONAL TRAVEL (NON-VA EMPLOYEE ADMIN TRAVEL),
2160,,DEC EMERGENCY TDY,211200,DECLARED EMERGENCY TRAVEL,
2170,,EMPLY TRVL TRNG/CONF VASPONSO,210500,VA SPONSORED CONFERENCE TRAVEL,
2171,,EMPLOYEE TRAVEL NON-VASPONSOR,210600,NON-VA SPONSORED CONFERENCE TRAVEL,
2172,,EMPLOYEE TRAV VA SPONS-COSP,210700,VA SPONSORED EVENT TRAVEL,
2173,,EMP TRVL NON-VA SPONSORED,210800,NON-VA SPONSORED EVENT TRAVEL,
2210,,SHIPMENT OF BODIES,220401,SHIPMENT OF BODIES,
2211,,DEC EMERGENCY SHIP OF BODIES,220499,DECLARED EMERGENCY SHIPMENT OF BODIES ,
2220,,OTHER SHIPMENTS,220101,OTHER SHIPMENTS - COMMON CARRIER & CONTRACT CARRIER,
2224,,OTHER SHIPMENTS-PERS PROP CAP,220101,OTHER SHIPMENTS - COMMON CARRIER & CONTRACT CARRIER,
2225,,OTHER SHIPMENTS-REAL PROP CAP,220101,OTHER SHIPMENTS - COMMON CARRIER & CONTRACT CARRIER,
2226,,OTHER SHIP-ADP NONEX EQ-CAP,220101,OTHER SHIPMENTS - COMMON CARRIER & CONTRACT CARRIER,
2230,,SHIP OF HSEHLDS & PERSNL EFFEC,220301,SHIPMENT OF HOUSEHOLD GOODS & PERSONAL EFFECTS (FSC),
2231,,SHIP OF VEHICLES - PCS TRAVEL,220302,SHIPMENT OF VEHICLES FOR PERMANENT CHANGE OF STATION TRAVEL,
2240,,PARCEL POST SERVICE,220201,PARCEL POST SERVICE,
2250,,RENTAL OF TRUCKS FR GOVT M PL,220103,RENTAL OF TRUCKS FROM GOVERNMENT MOTOR POOL (GSA),
2280,,Declared Emergency Shipments,220199,DECLARED EMERGENCY SHIPMENTS-COMMON CARRIER&CONTRACT CARRIER,
2298,,TRANSPORTATION - SVC DIST CTR,220102,OTHER SHIPMENTS - TRUCK RENTAL,
2311,,REAL PROP RENTAL - GSA,231001,REAL PROPERTY RENTAL - GSA,
2315,,N/A,233399,DECLARED EMERGENCY DATA COMMUNICATION SERVICES,
2320,,REGULAR MAIL SERVICE,233202,REGULAR MAIL SERVICES,
2321,,AIRMAIL & AIR FREIGHT EXP SVC,233201,AIR EXPRESS SERVICES,
2324,,SOFTWARE RENTAL & LICENSE FEE,233102,SOFTWARE RENTAL & LICENSE FEES - NON-CAP,
2328,,REAL PROPERTY RENTAL-RNTL AGT,232002,REAL PROPERTY RENTAL - RENTAL AGENTS,
2329,,REAL PROPERTY RENTAL-OWNR AGT,232001,REAL PROPERTY RENTAL - OWNER AGENTS,
2335,,SOFTWARE LEASE/LICENSE FEE CAP,233101,SOFTWARE LEASE & LICENSE FEES - CAP,
2336,,VOICE RECURRING COST,233302,VOICE RECURRING COST,
2337,,DATA COMMUNICATION SVC,233301,DATA COMMUNICATION SERVICES,
2338,,WIRELESS SERVICE,233303,WIRELESS SERVICES,
2339,,COMMUNICATIONS OTHER,233203,"RENTAL OF CABLE, TV, OR RADIO SERVICES",
2341,,EQUIPMENT RENTALS,233501,EQUIPMENT RENTALS - CAP,
2343,,IT EQUIPMENT RENTALS,233121,IT EQUIPMENT RENTALS - CAP,
2350,,MOTION PICTURE FILM RENTALS,233503,AUDIO/VIDEO MEDIA RENTALS,
2389,,PURCHASED CHILLED WATER,233408,PURCHASED CHILLED WATER,
2390,,UTILITY SERVICES,233411,UTILITY SERVICES,
2391,,ELECTRICITY-BUILDINGS,233401,ELECTRICITY-BUILDINGS,
2392,,WATER,233407,WATER,
2393,,PURCHASED STEAM/HEAT/WATER,233409,PURCHASED STEAM/HEAT/HOT WATER,
2394,,NATURAL GAS - BUILDING,233402,NATURAL GAS - BUILDING,
2395,,SEWER,233410,SEWAGE,
2396,,PURC RENEW ELEC ENERGY BLDG,233404,PURCHASED RENEWABLE/CLEAN ELECTRIC ENERGY - BUILDINGS,
2397,,NATURAL GAS LANDFILL/BIOMASS,233403,PURCHASED BIOGAS/BIOMASS - BUILDINGS,
2398,,RENEWABLE THERMAL ENERGY,233405,RENEWABLE/CLEAN THERMAL ENERGY,
2399,,OTHER RENEWABLE ENERGY SOURCES,233406,OTHER RENEWABLE/CLEAN ENERGY SOURCES,
2423,,FORMS AND FORMS LETTERS,240101,GPO FORMS AND FORM LETTERS,
2424,,OTHER PRINTING & REPRODUCTION,240201,COMMERCIAL FORMS AND FORM LETTERS,
2500,,Caregiver Stipend,256130,CAREGIVER STIPEND (VHA),
2501,,IT NETWORK MAINTENANCE,257203,IT NETWORK MAINTENANCE,
2502,,IT PERIPHERAL DEVICE MAINTENA,257204,IT PERIPHERAL DEVICE MAINTENANCE,
2503,,TELECOMMUNICATIONS MAINTENANCE,257207,TELECOMMUNICATIONS TECHNOLOGY MAINTENANCE,
