FMS_BBFY,FMS_EBFY,FMS_FUND,FMS_NAME,FMS_COST_CENTER,IFAMS_PARTITION,IFAMS_BBFY,IFAMS_EBFY,IFAMS_FUND,IFAMS_FUND_LONG,IFAMS_CATB_PROG,IFAMS_CATB_PROG_NM,GP_SP_PURPOSE_CD,GP_GS_PURPOSE_NM,LOAD_DATE
87,,3220,PROPRIETARY RECEIPTS,*,NCA,1987,,3220CU,PROPRIETARY RECEIPTS,,,,,
88,,3220,PROPRIETARY RECEIPTS,*,NCA,1988,,3220CU,PROPRIETARY RECEIPTS,,,,,
89,,3220,PROPRIETARY RECEIPTS,*,NCA,1989,,3220CU,PROPRIETARY RECEIPTS,,,,,
90,,3220,PROPRIETARY RECEIPTS,*,NCA,1990,,3220CU,PROPRIETARY RECEIPTS,,,,,
91,,3220,PROPRIETARY RECEIPTS,*,NCA,1991,,3220CU,PROPRIETARY RECEIPTS,,,,,
92,,3220,PROPRIETARY RECEIPTS,*,NCA,1992,,3220CU,PROPRIETARY RECEIPTS,,,,,
93,,3220,PROPRIETARY RECEIPTS,*,NCA,1993,,3220CU,PROPRIETARY RECEIPTS,,,,,
94,,1435,PROPRIET INTEREST NOT CLASS,*,NCA,1994,,1435RC,PROPRIET INTEREST NOT CLASS,,,,,
94,,3220,PROPRIETARY RECEIPTS,*,NCA,1994,,3220CU,PROPRIETARY RECEIPTS,,,,,
95,,3220,PROPRIETARY RECEIPTS,*,NCA,1995,,3220CU,PROPRIETARY RECEIPTS,,,,,
96,,3220,PROPRIETARY RECEIPTS,*,NCA,1996,,3220CU,PROPRIETARY RECEIPTS,,,,,
97,,3220,PROPRIETARY RECEIPTS,*,NCA,1997,,3220CU,PROPRIETARY RECEIPTS,,,,,
98,,3200,RECVBLS FROM CANCELED ACCTS,*,NCA,1998,,3220CU,RECVBLS FROM CANCELED ACCTS,,,,,
98,,3220,PROPRIETARY RECEIPTS,*,NCA,1998,,3220CU,PROPRIETARY RECEIPTS,,,,,
99,,1435,PROPRIET INTEREST NOT CLASS,*,NCA,1999,,1435RC,PROPRIET INTEREST NOT CLASS,,,,,
99,,3200,RECVBLS FROM CANCELED ACCTS,*,NCA,1999,,3220CU,RECVBLS FROM CANCELED ACCTS,,,,,
99,,3220,PROPRIETARY RECEIPTS,*,NCA,1999,,3220CU,PROPRIETARY RECEIPTS,,,,,
00,,1435,PROPRIET INTEREST NOT CLASS,*,NCA,2000,,1435RC,PROPRIET INTEREST NOT CLASS,,,,,
00,,3220,PROPRIETARY RECEIPTS,*,NCA,2000,,3220CU,PROPRIETARY RECEIPTS,,,,,
00,,6501,ESCROW SUSPENSE - TRANSIT,*,NCA,2000,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
00,,6501E,ESCROW SUSPENSE,*,NCA,2000,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
00,,6501,ESCROW SUSPENSE - TRANSIT,*,VBA,2000,,6501DP,ESCROW SUSPENSE - TRANSIT,,,GP,General Purpose,
