FMS_STATION,FMS_STATION_NAME,FMS_COST_CENTER,FMS_COST_CENTER_NAME,IFAMS_PARTITION,IFAMS_DIVISION_CODE,IFAMS_DIVISION_CODE_NAME,IFAMS_INTERNAL_ORG_CODE,IFAMS_INTERNAL_ORG_CODE_NAME,IFAMS_LOCATION_CODE,IFAMS_LOCATION_CODE_NAME,LOAD_DATE
800,ALTON NATIONAL CEMETERY   VANC,Any,Any,NCA,C0852000,Jefferson Barracks National Cemetery,C08000000,Alton National Cemetery,620030000-00,600 Pearl St,
801,ANNAPOLIS NATL CEMETERY   VANC,Any,Any,NCA,C0802000,Baltimore National Cemetery,C08010000,Annapolis National Cemetery,214013602-00,800 West St,
802,BALTIMORE NATL CEMETERY   VANC,Any,Any,NCA,C0802000,Baltimore National Cemetery,C08020000,Baltimore National Cemetery,212282104-00,5501 Frederick Ave,
803,BATH NATL CEMETERY        VAMC,Any,Any,NCA,C0803000,Bath National Cemetery,C08030000,Bath National Cemetery,148100000-00,"VA Medical Center, San Juan Ave",
804,BEVERLY NATL CEMETERY     VANC,Any,Any,NCA,C0926000,Washington Crossing National Cemetery,C08040000,Beverly National Cemetery,080101736-00,916 Bridgeboro Rd,
805,CALVERTON NATL CEMETERY   VANC,Any,Any,NCA,C0805000,Calverton National Cemetery,C08050000,Calverton National Cemetery,119331031-00,210 Princeton Blvd,
806,CAMP BUTLER NATL CEMETRY  VANC,Any,Any,NCA,C0806000,Camp Butler National Cemetery,C08060000,Camp Butler National Cemetery,627079722-00,5063 Camp Butler Rd,
807,CROWN HILL NATL CEMETERY  VANC,Any,Any,NCA,C0810000,Dayton National Cemetery,C08070000,Crown Hill National Cemetery,462084240-00,700 W 38th St,
808,CYPRESS HILLS NATL CEM    VANC,Any,Any,NCA,C0815000,Long Island National Cemetery,C08080000,Cypress Hills National Cemetery,112081203-00,625 Jamaica Ave,
809,DANVILLE NATL CEMETERY    VANC,Any,Any,NCA,C0806000,Camp Butler National Cemetery,C08090000,Danville National Cemetery,618325100-00,1900 E Main St,
810,DAYTON NATL CEMETERY      VANC,Any,Any,NCA,C0810000,Dayton National Cemetery,C08100000,Dayton National Cemetery,454289000-00,4400 W 3rd St,
811,FINN'S POINT NATL CEM     VANC,Any,Any,NCA,C0926000,Washington Crossing National Cemetery,C08110000,Finns Point National Cemetery,080709646-00,454 Fort Mott Rd,
812,GRAFTON NATL CEMETERY     VANC,Any,Any,NCA,C0912000,West Virginia National Cemetery,C08120000,Grafton National Cemetery,263541748-00,431 Walnut St,
813,INDIANTOWN GAP NATL CEM   VANC,Any,Any,NCA,C0813000,Indiantown Gap National Cemetery,C08130000,Indiantown Gap National Cemetery,170039618-00,"RR #2, Box 484 Indiantown Gap Rd",
814,KEOKUK NATL CEMETERY      VANC,Any,Any,NCA,C0821000,Rock Island National Cemetery,C08140000,Keokuk National Cemetery,526323142-00,1701 J St,
815,LONG ISLAND NATL CEM      VANC,Any,Any,NCA,C0815000,Long Island National Cemetery,C08150000,Long Island National Cemetery,117351211-00,2040 Wellwood Ave,
816,LOUDON PARK NATL CEM      VANC,Any,Any,NCA,C0802000,Baltimore National Cemetery,C08160000,Loudon Park National Cemetery,212290000-00,3445 Frederick Ave,
817,MARION NATL CEMETERY      VANC,Any,Any,NCA,C0810000,Dayton National Cemetery,C08170000,Marion National Cemetery,469524568-00,1700 E 38th St,
818,MASSACHUSETTS NATL CEM    VANC,Any,Any,NCA,C0818000,Massachusetts National Cemetery,C08180000,Massachusetts National Cemetery,023520000-00,Connery Ave,
819,PHILADELPHIA NATL CEM     VANC,Any,Any,NCA,C0926000,Washington Crossing National Cemetery,C08190000,Philadelphia National Cemetery,191382007-00,6909 Limekiln Pike,
820,QUINCY NATL CEMETERY      VANC,Any,Any,NCA,C0821000,Rock Island National Cemetery,C08200000,Quincy National Cemetery,623010000-00,36th & Maine Street,
821,ROCK ISLAND NATL CEM      VANC,Any,Any,NCA,C0821000,Rock Island National Cemetery,C08210000,Rock Island National Cemetery,612997090-00,"Bldg 118, Rock Island Arsenal",
822,TOGUS NATL CEMETERY       VANC,Any,Any,NCA,C0818000,Massachusetts National Cemetery,C08220000,Togus National Cemetery,043306719-00,VA Medical & Regional Office Center,
823,WOOD NATL CEMETERY        VANC,Any,Any,NCA,C0915000,Abraham Lincoln National Cemetery,C08230000,Wood National Cemetery,532954000-00,"5000 W National Ave, Bldg 1301",
